OBJECTID,MunNum,FullName,ShortName,GlobalID,created_user,created_date,last_edited_user,last_edited_date,SHAPE_Length,SHAPE_Area
41,3,City of Burnaby,Burnaby,{0A609550-A026-4AD6-A80A-AFF5D765F411},mvagoladmin,2023/10/27 23:19:44+00,mvagoladmin,2023/10/27 23:19:44+00,40934.244466086,96670272.2013126
42,15,City of Port Moody,Port Moody,{9574C768-2C39-46FC-A1E6-D65F3859541F},mvagoladmin,2023/10/27 23:19:44+00,mvagoladmin,2023/10/27 23:19:44+00,41018.844756517,32752809.4989469
43,1,Village of Anmore,Anmore,{FA50A6FB-9920-491D-A1D6-4221B96C00D6},mvagoladmin,2023/10/27 23:19:44+00,mvagoladmin,2023/10/27 23:19:44+00,30995.251963983,32233123.3947702
44,2,Village of Belcarra,Belcarra,{033A6F79-8CD3-409C-ACE4-DBA5CD818F8A},mvagoladmin,2023/10/27 23:19:44+00,mvagoladmin,2023/10/27 23:19:44+00,17258.2666414316,12591443.4522915
45,12,City of North Vancouver,North Vancouver City,{3CD3B4C4-A67F-4771-A03B-CFD2BBD9D9CC},mvagoladmin,2023/10/27 23:19:44+00,mvagoladmin,2023/10/27 23:19:44+00,19009.4061227402,14924793.5996501
46,22,Village of Lions Bay,Lions Bay,{9F6B291D-F1E4-4429-ACF9-ACD26FC5FFE2},mvagoladmin,2023/10/27 23:19:44+00,mvagoladmin,2023/10/27 23:19:44+00,9469.69110380891,3894680.76957366
47,21,Bowen Island Municipality,Bowen Island,{95DB21B2-65FD-473D-8FF3-1F8A1A95535A},mvagoladmin,2023/10/27 23:19:44+00,mvagoladmin,2023/10/27 23:19:44+00,37754.5316957464,62728307.3303973
48,6,Electoral Area A,Electoral Area A,{A0E18F09-EC02-4554-82DF-B1C07D07846C},mvagoladmin,2023/10/27 23:19:44+00,mvagoladmin,2023/10/27 23:19:44+00,1598.5116453258,141225.537104366
49,6,Electoral Area A,Electoral Area A,{8CB7793B-A28C-4000-92AB-A87DC01B8DE7},mvagoladmin,2023/10/27 23:19:44+00,mvagoladmin,2023/10/27 23:19:44+00,378034.881574721,1429679748.46929
50,13,District of North Vancouver,North Vancouver District,{41185583-986D-4523-B60D-F557FEAAA67D},mvagoladmin,2023/10/27 23:19:44+00,mvagoladmin,2023/10/27 23:19:44+00,67985.1680731851,177438733.953012
51,19,District of West Vancouver,West Vancouver,{FA4521F3-83F8-47D6-A981-5BAA515882B7},mvagoladmin,2023/10/27 23:19:44+00,mvagoladmin,2023/10/27 23:19:44+00,45571.154586533,98869658.969783
52,27,Tsawwassen First Nation,Tsawwassen First Nation,{9827F389-DFDA-4BD8-9584-67FF13E10973},mvagoladmin,2023/10/27 23:19:44+00,mvagoladmin,2023/10/27 23:19:44+00,32611.7447785679,12480586.4263602
53,12,Electoral Area A,Electoral Area A,{47423F51-E9D8-4412-BCA8-26DA424CB586},mvagoladmin,2023/10/27 23:19:44+00,mvagoladmin,2023/10/27 23:19:44+00,12550.8789038243,2173436.4804637
